order_date,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
2016/09/04,9,HTS-0002,038040,White T-Shirt M,20.0,1
2014/11/14,11,HTS-0001,801797,White T-Shirt M,20.0,1
2017/02/26,10,HTS-0003,vft1eu,White T-Shirt F,18.0,3
2013/12/01,10,HTS-0001,914324,Wh Tshirt F,18.0,1
2015/10/22,12,HTS-0001,88ua9r,White T-Shirt M,20.0,1
2016/01/15,9,HTS-0003,061311,Black T-Shirt F,17.5,4
2014/11/25,6,HTS-0001,479441,Hoodie,23.0,19
2014/11/01,10,HTS-0001,352809,Black T-Shirt M,19.0,2
2013/11/03,10,HTS-0001,494332,Wh Tshirt F,18.0,2
2013/10/02,14,HTS-0001,463794,Tennis Shirt,24.0,1
2013/07/23,17,HTS-0001,132885,Wh Tshirt M,20.0,1
2013/11/24,17,HTS-0001,519113,Bl Tshirt F,17.5,1
2015/11/24,15,HTS-0001,je57lh,Hoodie,23.0,3
2015/10/10,8,HTS-0002,252675,White T-Shirt M,20.0,3
2016/08/15,6,HTS-0004,049348,Black T-Shirt F,17.5,1
2015/11/29,15,HTS-0001,heb26i,Black T-Shirt F,17.5,1
2015/10/09,10,HTS-0003,989355,Hoodie,23.0,2
2015/03/26,11,HTS-0002,679143,Hoodie,23.0,1
2016/04/24,12,HTS-0001,301362,Black T-Shirt F,17.5,1
2016/01/16,15,HTS-0002,1b0lnt,White T-Shirt M,20.0,1
2015/01/17,5,HTS-0002,198773,White T-Shirt M,20.0,1
2016/08/14,9,HTS-0005,996602,Hoodie,23.0,3
2014/07/20,11,HTS-0001,476084,White T-Shirt M,20.0,2
2016/05/20,14,HTS-0002,907041,White T-Shirt F,18.0,3
2016/01/31,11,HTS-0002,ws13bp,Hoodie,23.0,5
2014/03/09,12,HTS-0002,399607,White T-Shirt M,20.0,5
2016/05/20,16,HTS-0001,r0lzge,White T-Shirt M,20.0,1
2017/01/08,5,HTS-0004,610587,Hoodie,23.0,1
2014/05/30,5,HTS-0002,299053,Black T-Shirt M,19.0,2
2016/05/27,6,HTS-0003,590680,Hoodie,23.0,1
2014/10/03,8,HTS-0003,707341,Black T-Shirt M,19.0,3
